Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
MA,RI,F05,T05,34.34,10.67,0.27
RI,VT,F07,T05,11.38,34.78,1.93
MO,CA,F01,T04,1.89,0.02,0.02
NJ,TN,F03,T14,0.05,0.01,0.00
FL,SC,F07,T04,97.14,345.28,78.89
MS,PA,F03,T04,3.20,2.24,1.18
OH,UT,F03,T14,2.20,0.10,0.09
VT,NY,F04,T05,17.09,74.82,4.08
IL,MI,F01,T04,20.61,24.40,4.82
WI,MA,F04,T14,16.58,11.31,6.30
NM,NM,F03,T04,17.82,11.11,0.06
AL,NV,F09,T14,0.21,0.01,0.01
VT,NY,F06,T04,11.84,13.64,1.16
KS,KS,F01,T05,19.27,15.47,0.48
NY,TX,F09,T04,0.31,0.01,0.01
KY,AL,F02,T04,10.06,77.55,9.92
PA,CA,F08,T04,52.38,57.27,75.16
NY,NM,F06,T04,0.91,0.71,0.74
AL,AL,F08,T05,978.08,1079.07,18.22
MN,IL,F06,T14,0.02,0.01,0.00
PA,MT,F05,T04,22.72,7.99,8.68
HI,MO,F03,T11,0.33,0.01,0.02
OH,FL,F03,T11,8.84,0.60,0.29
MO,IL,F07,T11,2.04,0.13,0.05
NC,CT,F01,T14,0.27,0.09,0.03
CO,KS,F07,T14,3.25,0.72,0.21
PA,VT,F07,T04,0.77,0.64,0.11
MI,KY,F05,T04,123.07,69.57,13.90
UT,WA,F07,T11,44.23,3.33,1.66
MO,PA,F06,T06,2.05,3.72,1.77
TX,VA,F00,T00,2.48,0.25,0.22
UT,CA,F06,T00,31.16,133.56,58.94
DE,OH,F05,T05,6.72,5.84,1.10
MD,RI,F04,T04,11.54,15.00,3.20
MO,TN,F00,T00,8.96,0.50,0.30
MA,SC,F00,T00,1.97,0.22,0.10
NY,WY,F08,T14,0.05,0.01,0.01
KS,AZ,F05,T04,172.34,64.79,33.40
MI,NH,F07,T00,1.17,0.66,0.31
KY,CO,F06,T04,2.78,4.27,2.42
CA,GA,F04,T04,23.44,21.45,26.93
ID,NE,F07,T14,3.23,0.17,0.10
MA,OK,F06,T04,0.77,0.33,0.28
FL,DE,F07,T04,52.42,53.11,26.03
TN,KS,F06,T04,1.98,1.88,0.62
MO,NE,F05,T05,23.69,17.42,2.41
KS,VA,F07,T04,36.05,31.78,18.60
OH,KY,F07,T04,768.46,1701.60,111.63
MT,KS,F07,T14,0.01,0.00,0.00
OK,CT,F07,T04,74.56,137.68,104.71
MA,NC,F05,T04,38.23,10.42,4.20
OH,CT,F07,T14,5.17,0.39,0.11
GA,TX,F01,T04,17.56,10.22,6.68
KS,WI,F08,T04,0.17,0.24,0.08
WA,CA,F07,T14,0.99,0.10,0.04
MO,IL,F09,T14,1.07,0.04,0.01
IL,CA,F07,T06,38.43,55.28,60.71
MS,IL,F03,T04,0.57,0.15,0.06
MA,MA,F01,T04,7.17,1.83,0.02
CO,NM,F04,T14,0.03,0.02,0.00
TN,WA,F05,T04,9.80,3.92,4.86
FL,FL,F01,T05,90.09,56.59,1.85
IL,KS,F05,T05,81.62,33.08,5.94
MT,WA,F04,T14,0.05,0.00,0.00
TX,DC,F08,T04,0.15,0.33,0.26
ID,NY,F03,T04,88.54,58.72,65.97
OR,CA,F07,T05,49.58,69.03,4.37
ME,HI,F00,T00,0.06,0.01,0.03
KS,TX,F07,T06,84.48,322.15,111.07
WY,NJ,F03,T04,1.64,2.49,2.17
TN,MS,F07,T14,17.17,0.35,0.03
NJ,NC,F05,T05,0.61,0.47,0.10
IL,MO,F07,T14,0.13,0.03,0.00
FL,NH,F07,T04,5.68,1.98,1.35
NE,PA,F07,T06,23.75,197.09,136.09
NC,NC,F01,T14,0.86,0.18,0.00
